Special Dog Food,165,dog-product-1.jpg,Dog,High-quality food for dogs,Provides essential nutrients and vitamins.,Suitable for all breeds.
Top Breed,90,dog-product-2.png,Dog,Nutritional dog food,Contains premium ingredients for a healthy diet.,Supports overall well-being.
Beef Pro,150,dog-product-3.png,Dog,Beef-flavored dog food,Rich in protein and flavor.,Helps build muscle and maintain a healthy coat.
Pedigree (Adult),140,pedigree-adult.jpg,Dog,Complete food for adult dogs,Balanced nutrition for adult dogs.,Supports dental health and digestion.
Pedigree Grilled Liver Loaf,40,pedigree.jpg,Dog,Tasty liver loaf for dogs,Grilled flavor and easy to digest.,Perfect for training or a special treat.
IAMS Dog Food,150,iams.jpg,Dog,Premium dog food,High-quality ingredients for a nutritious meal.,Promotes healthy skin and coat.
Whiskas,40,whiskas-junior.jpg,Cat,Cat food for kittens,Nutritious food for growing kittens.,Supports healthy growth and development.
Whiskas Skin & Coat,150,whiskas.jpg,Cat,Food for healthy skin and coat,Specially formulated to improve skin and coat health.,Includes omega fatty acids.
Power Cat Kitten,225,power-cat.jpg,Cat,Kitten food with high protein,Provides essential nutrients for kittens.,Promotes strong growth and development.
Purina One,200,purina-one.jpg,Cat,Complete cat food,Balanced diet for overall health.,Supports immune system and urinary health.
Hair Grower Herbal Soap,180,hair-grower.jpg,Care,Herbal soap for hair growth,Nourishes and strengthens hair.,Suitable for all hair types.
Furfect Soap,210,furfect-soap.jpg,Care,Special soap for fur care,Enhances fur shine and softness.,Gentle on skin and effective in cleaning.
Dextrose Powder,100,dextrose-powder.jpg,Care,Energy-boosting dextrose powder,Provides quick energy for pets.,Ideal for active or recovering pets.
Bearing Dog Shampoo,200,bearing-dog-shampoo.jpg,Care,Shampoo for dogs,Maintains healthy and clean fur.,Suitable for all dog breeds.
Saint Gertie Premium Cat Shampoo,250,saint-gert-cat.jpg,Care,High-quality cat shampoo,Improves coat texture and shine.,Gentle and effective.
Saint Gertie Premium Dry Shampoo,150,saint-gertie-dry.png,Care,Convenient dry shampoo,Ideal for quick clean-ups.,Leaves fur fresh and clean without water.
Papi Pet Powder,200,papi-pet-powder.jpg,Care,Pet powder for freshness,Helps keep pets smelling fresh.,Suitable for all pets.
Fur Magic Dog Shampoo,550,fur-magic.jpg,Care,Premium dog shampoo,Specially formulated for a luxurious clean.,Enhances fur softness and shine.
